code;description
931;Obreros de la minería y la construcción
932;Empacadores manuales y obreros de la industria manufacturera
933;Obreros del transporte y almacenamiento
831;Maquinistas de locomotoras, guardafrenos y agentes de maniobras
832;Conductores de motocicletas, automóviles y camionetas
833;Conductores de buses, trolebuses y camiones pesados
834;Operadores de maquinaria agrícola, forestal, máquinas de movimiento de tierras, grúas y montacargas
835;Tripulantes de cubierta de barco
721;Moldeadores, soldadores, chapistas, caldereros, montadores de estructuras metálicas, aparejadores y empalmadores de cables no eléctricos
722;Herreros y herramentistas reguladores y operarios de máquinas herramientas pulidores de metales y afiladores de herramientas
723;Mecánicos de vehículos, motores de aviones, reparadores de máquinas agrícolas, industriales y bicicletas
921;Obreros agropecuarios, de jardinería y horticultura, forestales y pesqueros
811;Mineros y operadores de instalaciones mineras, perforadores de pozos y operadores de máquinas para fabricar cemento y otros productos minerales
812;Operadores de instalaciones de procesamiento y acabado de metales (pulidores, galvanizadores y recubridores de metales)
813;Operadores de instalaciones y máquinas para fabricar productos químicos y fotográficos
814;Operadores de máquinas para fabricar productos de caucho, de material plástico y de papel
815;Operadores de máquinas para fabricar productos textiles, artículos de piel y cuero y operadores de máquinas de lavanderías
816;Operadores de máquinas para elaborar alimentos, bebidas y cigarrillos
817;Operadores de instalaciones para la preparación de papel, pasta de papel y procesamiento de la madera
818;Operadores de máquinas de instalaciones de vidriería, cerámica y operadores de máquinas de vapor y calderas, de embotellamiento, de etiquetado y otros operadores de máquinas e instalaciones
000;Ocupacion no clasificable
