code;description
11;Miembros del Poder Ejecutivo y Legislativo, personal directivo de la administración pública y de otras organizaciones sociales y/o políticas, directores ejecutivos y gerentes generales
12;Directores y gerentes administrativos y de servicios comerciales
13;Directores, gerentes y administradores de producción y operaciones
14;Directores, gerentes y administradores de hoteles, restaurantes, comercios y de otros servicios
21;Profesionales de las ciencias y de la ingeniería
22;Profesionales de la salud
23;Profesionales de la educación
24;Profesionales de negocios y administración
25;Profesionales de tecnología de la información y las comunicaciones
26;Profesionales en derecho, ciencias sociales y culturales
31;Técnicos de las ciencias y la ingeniería
32;Técnicos de la salud
33;Técnicos en operaciones financieras y administrativas
34;Técnicos de servicios jurídicos, sociales, deportivos y culturales
35;Técnicos de la tecnología de la información y las comunicaciones
36;Técnicos en educación
41;Oficinistas
42;Empleados en trato directo con el público
43;Auxiliares y ayudantes de registros contables y encargados del registro de materiales
44;Otro personal de apoyo administrativo
51;Trabajadores de los servicios a las personas
52;Vendedores
53;Trabajadores de los cuidados personales
54;Personal de los servicios de protección y seguridad
61;Agricultores y trabajadores calificados de explotaciones agropecuarias cuya producción se destina al mercado
62;Trabajadores forestales calificados, pescadores y cazadores cuya producción se destina al mercado
63;Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia
71;Operarios de la construcción (no incluye electricistas)
72;Operarios de la metalurgia y operarios de máquinas herramientas mecánicos de vehículos, maquinarias, aviones y bicicletas
73;Artesanos y operarios de las artes gráficas
75;Operarios de procesamiento de alimentos, de la confección, ebanistas y otros oficios
81;Operadores de instalaciones fijas y máquinas
82;Ensambladores
83;Conductores de vehículos y operadores de equipos pesados y móviles
91;Auxiliares de aseo y trabajadores de casa particular
92;Obreros agropecuarios, pesqueros y forestales
93;Obreros de la minería, la construcción, la industria manufacturera y el transporte
94;Cocineros de comida rápida y ayudantes de cocina
95;Trabajadores ambulantes de servicios y vendedores ambulantes (excluyendo comida de consumo inmediato)
96;Recolectores de desechos y otras ocupaciones elementales
00;Ocupación no clasificable
