español;traduccion
ACCIDENTES QUE INVOLUCRAN VEHICULOS;ACCIDENTS INVOLVING VEHICLES  
AGRESIONES DE ANIMALES;ANIMAL ATTACKS  
AMENZAS O AGRESIONES DE PERSONAS;THREATS OR ASSAULTS BY PEOPLE  
ATRAPAMIENTOS;ENTRAPMENTS  
CAIDAS;FALLS  
CONTACTO CON CALOR O FRIO EXTREMO;CONTACT WITH EXTREME HEAT OR COLD  
CONTACTO CON CORRIENTE ELECTRICA;CONTACT WITH ELECTRIC CURRENT  
CONTACTO CON OBJETOS CORTO-PUNZANTES;CONTACT WITH SHARP OBJECTS  
CONTACTO O INHALACION DE SUSTANCIAS QUIMICAS, BIOLOGICAS O RADIACIONES;CONTACT OR INHALATION OF CHEMICAL, BIOLOGICAL SUBSTANCES OR RADIATION  
EXPLOSIONES O INCENDIOS;EXPLOSIONS OR FIRES  
FALSOS MOVIMIENTOS Y SOBREESFUERZO;AWKWARD MOVEMENTS AND OVEREXERTION  
FUERZA EXCESIVA;EXCESSIVE FORCE  
GOLPES;BLOWS/IMPACTS  
INCIDENTE SIN LESION SEGUN RELATO PACIENTE;INCIDENT WITHOUT INJURY ACCORDING TO PATIENT'S REPORT  
INTOXICACION ALIMENTARIA;FOOD POISONING  
OTRAS FORMAS DE ACCIDENTE;OTHER FORMS OF ACCIDENT  
PICADURAS DE INSECTOS;INSECT BITES  
PISADAS;STEPPING ON  
PROYECCION DE PARTICULAS;PARTICLE PROJECTION
