index,ocupacion,clasificacion-oit
0,operario,93
1,supervisor,12
2,mantencion,93
3,mecanico,72
4,cajera,42
5,operario de produccion,93
6,coordiandora de laborator,12
7,temporera,92
8,secretaria,41
9,auxiliar de alimentacion,94
10,trabajador social,26
11,ayudante soldado r,93
12,auxiliar servicios,44
13,aux de aseo,91
14,operarios,93
15,cajera de peaje,42
16,auxiliar de pabellon,32
17,maestro segunda,23
18,trabajador agricola,92
19,pioneta,93
20,guardia de seguridad,54
21,tecnico en telecomunicaci,35
22,auxiliar de fota,34
23,asistente comercial,33
24,vacunadora de peces,92
25,tecnico paramedico,32
26,encargado de grupo noctur,54
27,jefa de personal,12
28,operario de bodega,93
29,jefe de turno,13
30,operador de cnc,81
31,administrativo,41
32,agricola,61
33,tec mencanico,31
34,chequeadora,42
35,constructor,71
36,ayudante de cocina,94
37,auxiliar de aseo,91
38,enfermera clinica,32
39,kinesiologa,22
40,ejecutivo comercial,12
41,secretaria administrativ,41
42,oepraria,93
43,directora de servicios,12
44,carpintero,75
45,recolector basura,96
46,segundo maquina,83
47,asistente investigacion,34
48,maestro cortinero,75
49,operaria,93
50,recolector,96
51,gerente,11
52,ejecutiva comercial,12
53,jefe de sucursal,12
54,camarera,51
55,ayudante de topografo,31
56,jornal,92
57,ayud trefilado,93
58,tecnico aplicador,31
59,asistente de obra,93
60,encargada de insumos,43
61,apoyo de jefatura,44
62,ayudante,44
63,conductor,83
64,maestro electrico,31
65,cocinero,94
66,electrico,71
67,educadora trato directo,53
68,jefe de proyecto,13
69,atencion publico,42
70,ayudante albañil,93
71,trazador,72
72,auxiiar de aseo,91
73,auxiliar de cacino,44
74,polifuncional,44
75,encargado operaciones,13
76,operador,81
77,operario en altura,71
78,tecnico en computacion,35
79,aseador y jardineria,91
80,ejecutiva terreno,11
81,pintor,93
82,ejecutiva atencion public,11
83,ayudante avanzado producc,93
84,reponedora,52
85,administradora,12
86,tecnico mecanico,72
87,ayudante de taller,93
88,auxiliar de abastecimient,43
89,vendedor,52
90,operdaor planta,81
91,operativo de prevencion,54
92,adm contable,33
93,supervisor de obra,71
94,mercadista,24
95,jefe administrativo,12
96,temporero,92
97,analista de inventario,33
98,tens,32
99,post venta,42
100,tecnico en mantencion,31
101,maetro de primera,23
102,guardia,54
103,encargado de riego,92
104,conferente,23
105,descarga,93
106,operador de maq agricola,83
107,chofer,83
108,tutor,23
109,maestro carpintero,73
110,coordinadora dental,32
111,laboratorista,32
112,chofer y operador,83
113,monitor,34
114,tecnico empalmador,31
115,nutricionista,22
116,operario de maquinaria,81
117,operaria de produccion,93
