0,aux de aseo,911
1,auxiliar de aseo,911
2,kinesiologa,224
3,educadora trato directo,235
4,auxiiar de aseo,911
5,nutricionista,224
6,aseadora,911
7,auxiliar aseo,911
8,aseo,911
9,conserje,000
10,aux dietetica,000
11,tecnico en parvulos,361
12,medica,221
13,monitora,000
14,especialista en aseo,911
15,auxiliar limpieza,911
16,asistente ed especial,235
17,sicopedagoga,235
18,aux aseo,911
19,educadora parvularia,234
20,tecparvulo,361
21,medico,221
22,personal de aseo,911
23,asistente de parvulo,531
24,asistente de aula,531
25,agente educativa,235
26,asistente de paciente,532
27,tecnico asistente parvulo,361
28,asistente de aula y furgo,531
29,asistente de educacion,361
30,auxiliar de sala,361
31,tecnico educparvulos,361
32,psicologa,000
33,tecnico en parvulo,361
34,auxiliar de limpieza,911
35,jefa de lengua,231
36,fonoaudiologa,224
37,operaria de higiene,911
38,asistente de la educacion,361
39,asistente de sala,532
40,tec en parvulos,361
41,terapeuta,224
42,profesora asistente,361
43,coperia,000
44,enfermera tratante,222
45,asistente de centro,532
46,matrona,222
47,mucama,911
48,profesora ingles,235
49,limpieza,911
50,director medico,221
51,asistente de parvulos,361
52,profesora de teatro,232
53,asistente aseos menores,912
54,tec parvulos,361
55,podologa,224
56,educadora de parvulos dir,234
57,educador de trato directo,532
58,operaria bodega,000
59,jornal aseo,911
60,monitora de aula,361
61,cuidadora protectora,532
62,maquilladora,000
63,asiste educacion,361
64,lider academica en invest,231
65,inspectora basica,531
66,educ diferencial,235
67,tecnico atencion parvulos,361
68,limpieza playa,912
69,llavera,000
70,ax de aseo,911
71,asistente de limpieza,911
72,asistente educativa,361
73,lavanderia,912
74,profesora media,232
75,auxiliar de parvulo,531
76,asesora curricular,235
77,medico junior,221
78,operaria multifuncion,000
79,asistente parvulo,361
80,odontologo,224
81,especialista en limpieza,911
82,auxiliar de higiene,911
83,cuidadora,532
84,encargada de sens,000
85,terapeuta ocupacional,224
86,tecnico en educacion de p,361
87,notificadora,000
88,edicadora de parvulos,234
89,eeducadora diferencial,235
90,profesora historia,232
91,tecnico parvularia,361
92,tec en educ parvularia,361
93,tecnico en ed parvularia,361
94,tecnico de aula,361
95,operaria aseo,911
96,encargada utp,235
97,encargada de aseo,911
98,operaria de sala,000
99,coordinadora pie,235
100,profesora diferencia prog,231
101,labores aseo de camion le,912
102,profesora de artes,234
103,tec en atencion de parvu,361
104,nutricionista asesora,224
105,profesora guia taller,232
106,profesroa,234
107,profesora y coordinadora,234
108,tecnico ed parvularia,361
109,asistente en educacion,361
110,asist de parvulo,361
111,paradocente,361
112,encargada conviviencia,000
113,docente ed diferencial,235
114,veterinaria,223
115,cot,000
116,apoyo aseo,911
117,profesora matematica,234
118,tecnico ed diferencial,361
119,consultora de belleza,000
120,mayordomia,000
121,dietetica,224
122,directora de ciclo,000
123,asistente de la eduacion,361
124,tec asistente de parvulo,361
125,asistente aula,531
126,auxiliar aseo maquinarias,912
127,kinesiologo,224
128,docente de diferencial,235
129,asiste de aula,531
130,coordinadora programa int,000
131,educadora de trato direct,361
132,tec en parvulos dif,361
133,jornal  limpieza,911
134,asistente de aula diferen,531
135,masoterapeuta,000
136,aseo industrial,912
137,tec en comun,000
138,veterinario,223
139,operaria de aseo,911
140,asistente parvulos,531
141,tens en enf,222
142,peluquera canina,000
143,inspectora de colegio,531
144,tecnico de parvulo,361
145,asitente pasillo,000
146,tecnico atencion parvulo,361
147,auxiliar de mantecion,000
148,medico de familia,221
149,asesora del hogar,911
150,jornal de aseo,911
151,auxiliar de aseo y apoyo,911
152,auxiliard e aseo,911
153,kam nacional,000
154,estilista,000
155,enc de convivencia escol,235
156,academica,231
157,docente/inspectora,000
158,asistente de aseo,911
159,tecnico parvulo,361
160,coordinadora de pastoral,000
161,tecnico parvulos,361
162,operaria de lavanderia,912
163,cuidadora de apoyo,532
164,cuidador postrados,532
165,mantencion de aseo,911
166,directora de colegio,000
167,inspectora de internado,531
168,operador de aseo,911
169,tec en parvulo,361
170,tens pediatria,222
171,docente especialista,235
172,tens de salud,224
173,retorno de andarivel,000
174,encargada de valija,000
175,profesora quimica,232
176,limpieza general,911
177,tens farmacia,000
178,cuidadora adulto mayor,532
179,profesora jefe,234
180,paradocentes asiste educa,531
181,barredor,912
182,medico pediatra,221
183,asist parvulos,361
184,profesora de aula,234
185,tutora diurna,235
186,mantencion de baños quimi,000
187,tec educ diferencial,235
188,jefa de salon,000
189,tecnico en educacion,361
190,directora de jardin,235
191,ayudante de obra,000
192,planchera,912
193,tens dental,224
194,operario aseo,911
195,asistende de parvulos,361
196,tec e nparvulos,361
197,educadora de aula,234
198,aixiliar de aseo,911
199,encargada convivencia esc,000
200,asistente educacion,361
201,cirujano dentista,224
202,docente e inspectora gene,234
203,bodega,000
204,encargada tec en parvulo,361
205,coordinadora de salud,000
206,consultora academica,000
207,barrido,912
208,directora colegio,000
