0,mecanico,723
1,trabajador agricola,921
2,operador de cnc,722
3,segundo maquina,834
4,jornal,000
5,conductor,832
6,trazador,721
7,operador,000
8,tecnico mecanico,723
9,operdaor planta,000
10,temporero,921
11,encargado de riego,921
12,operador de maq agricola,834
13,chofer,832
14,chofer y operador,832
15,operario de maquinaria,834
16,encargado maquinaria,834
17,conductor grua,834
18,obrero agricola,921
19,operador de grua,834
20,operador de maquinaria,834
21,ayudante mecanico,723
22,soldador,721
23,maestro soldador,721
24,chofer de carga,833
25,mantencion areas verdes,921
26,conductor 1530,000
27,operador maquinaria,834
28,conductor y peoneta,832
29,maestro mecanico,723
30,tecnico laminador,722
31,mecanico mantencion,723
32,operador caldera,818
33,conductor de camion,833
34,motoserrista,834
35,bodeguero y chofer,933
36,operador de maquina,000
37,operador maquinaria pesad,834
38,conductor de carga pesada,833
39,conductor operador,834
40,mecanico a,723
41,mantencion de maquinaria,723
42,operario agricola,921
43,tripulante de nave,835
44,condcutor de reparto,832
45,campero,921
46,trabajador de temporada,921
47,operador grua,834
48,operario maquina,000
49,operario de planta,000
50,operador general,000
51,op de grua,834
52,operador de maquinas,000
53,maquinista,831
54,jardinero,921
55,operario de caldera,818
56,conductores de camiones p,833
57,ductero,000
58,repartidor,832
59,selecionador de madera,921
60,mecanico de cinta,000
61,operador de maq pesada,834
62,conductor de retroescabad,834
63,reparador,723
64,mantencion de canchas,000
65,operario taller,722
66,traspaletero,834
67,maestro enfierrador,931
68,operador de maquina pesad,834
69,tornero,722
70,movilizador y cargador,933
71,mecanico tornero,722
72,empalmero,721
73,operador de camara de fri,000
74,conductor de ambulancia,832
75,conductor estafeta y ope,832
76,operador terreno secadora,816
77,mecanico soldador,721
78,maestro en mantenimiento,000
79,maestro carrocero,722
80,operador de plancha,814
81,control linea,000
82,operario embalador,932
83,enzunchador,000
84,operador aplicador,000
85,electricista de primera,000
86,supervisor de buzo,000
87,maestro pinchador,000
88,asistente de ruta,000
89,operador de caldera,818
90,conductor peoneta,832
91,desabollador,721
92,operario traspaleta elect,834
93,labores de matadero,000
94,mensajero,832
95,operador de prensa,814
96,riger,834
97,soldador mecanico,721
98,mecanico planta,723
99,asistente mecanico,723
100,ayudante instalador,722
101,maestro en fierro,721
102,dj en discoteque,000
103,vidriero,818
104,jornalero,921
105,picking,933
106,operario de vendimia,921
107,instalador,000
108,carrero,832
109,soldador calificado,721
110,maestro granallador,812
111,soldador de hdpe,721
112,carpintero andamiero,931
113,mecanico mantenedor,723
114,mecanico desabollador,721
115,operador de mini cargadao,834
116,ayudante de mecanico avan,723
117,maestro yesero,932
118,conductor ambulancia,832
119,operador de televi,000
120,operador de riles,818
121,operador empaquedator,932
122,mecanicos,723
123,ayudante de soldador,932
124,operador de huincha,000
125,motorista,832
126,apilador electric logisti,933
127,soldadora,721
128,soldador tic,721
